nome_usuario,mensagem,data
sousa97jussara,"Bolsonaro sancionou lei pra acabar com a corrupção no INSS, Lula revogou a lei só pra começar novamente a roubar, e agora junto ao irmão",2025-05-01
BalbinoLeles,"Engraçado, LULA disse que as fraudes no INSS começaram em 2019 atribuindo uma parte das fraudes ao governo Bolsonaro, os sindicatos são de direita ou de esquerda? Frei Xico é irmão de Bolsonaro ou de Lula? Responda Lula, vc não engana mais ninguém",2025-05-01
Almirdo08875183,"Revisão da Vida Toda.
Tema 1102.

BOLSONARO era contra o pagamento, dizia q o país quebraria.
LULA, também.
STF (Barroso) em jantar, tramam acordo.
Barroso ressuscita ADI's 2110 e 2111.
INSS nos roubou valores anteriores a jul/94.
LULA, PT, NUNCA MAIS.",2025-05-01
xandecapitao,"CHUPAAAAA, cadela

",2025-05-01
xandecapitao,,2025-05-01
grok,"@andreaquiiii   
1. Escândalo do INSS começou em 2019, governo Bolsonaro.  
2. Investigações começaram em 2025, governo Lula.  
3. Bolsonaro não investigou esse escândalo específico.  
4. Frei Chico não é investigado, mas seu sindicato, Sindnapi, está sob investigação.  
5. Frei Chico virou dirigente do Sindnapi em 2023.",2025-05-01
grok,"A informação tem base, mas é parcialmente subjetiva. Hugo Motta, presidente da Câmara, enfrenta forte pressão política pelo PL da Anistia, apoiado por aliados de Bolsonaro, e por múltiplos pedidos de CPI, como o do INSS. Esses fatores criam um cenário de grande estresse, com rallies e demandas públicas intensificando o quadro. Porém, a alegação de que ""não consegue dormir"" não pode ser confirmada, sendo uma interpretação pessoal. O contexto político atual sustenta a ideia de pressão significativa sobre ele.",2025-05-01
DinoNeto7,"Não vi o tal do , 3m momento algum, citar no jornal da Band , esse assunto sobre o careca do INSS 🤷🏾
",2025-05-01
robertantonny,Zema defende a quadrilha Bolsonaro que roubou o INSS. Tá levando propina de quanto Zema?,2025-05-01
sergioreivaldo,Esquema Bolsonaro por trás de escândalo do INSS: Ciro Nogueira e Ricardo...  via ,2025-05-01
ScoobyDooMount,"Netinho do falecido da ditadura de 64-85, tão correndo atrás de CPI do INSS. Logo os trouxas do 8/01 serão esquecidos e teremos muito claro o que todos sempre souberam, eles não significam nada pro bolsonarismo, mas a prancha pra Bolsonaro usar como travessia pro outro lado.",2025-05-01
grok,"Olá! Aqui estão as respostas em português:

1. Frei Chico, irmão de Lula, não está sendo investigado diretamente. O foco é o Sindnapi, sindicato onde ele é vice-presidente, por suspeitas de fraudes no INSS.

2. As fraudes começaram em 2019, no governo Bolsonaro, com alguns casos em 2018, sob Temer. Envolvem descontos não autorizados de benefícios de aposentados.

3. As investigações iniciaram em 2023, já no governo Lula, com operação da Polícia Federal em abril de 2025.

4. Frei Chico é diretor do Sindnapi desde 2008 e virou vice-presidente em 2024, eleito por sua experiência sindical, não por laços familiares.

O caso expõe falhas de fiscalização em vários governos, e o Sindnapi diz ter reportado irregularidades.",2025-05-01
cccaioandrade,"O esquema de fraudes no INSS investigado pela PF envolve aliados e ex-integrantes do governo Bolsonaro. As irregularidades ocorreram principalmente entre 2019 e 2022, com suspeitas de uso político de benefícios. Não há ligação com o governo Lula, que assumiu depois.",2025-05-01
grok,"The INSS fraud began in 2019, during Jair Bolsonaro's presidency, as confirmed by investigations from the CGU and PF. The scheme, involving unauthorized deductions, grew significantly that year. While earlier frauds existed, this specific issue started under Bolsonaro, not Lula, despite some political claims. It's a complex, systemic problem spanning decades.",2025-05-01
grok,"Sim, a informação parece ser verídica. Reportagens de fontes confiáveis, como Revista Fórum e Metrópoles, confirmam que José Laudenor, beneficiário de uma fraude no INSS, é sócio de José Carlos Oliveira, ex-ministro de Bolsonaro, na empresa Yamada e Hatheyer Serviços Administrativos LTDA. A fraude envolveu descontos ilegais em pagamentos de aposentados, totalizando mais de R$ 6 bilhões.

Embora Oliveira não seja alvo direto da investigação da Polícia Federal, chamada Operação Sem Desconto, suas conexões comerciais levantam suspeitas. Não há declarações dele negando as alegações, o que deixa o caso sensível e politicamente carregado.",2025-05-01
joaofernandesf1,O cara que mais roubou o INSS foi o bandido do Bolsonaro porque ele não esta preso.,2025-05-01
joaofernandesf1,"""Pessoas de esquerda não demoraram um minuto para condenar um homem negro acusado sem provas"", diz Silvio Almeida  Na realidade para condenar esse negro a direita foi rápida mais para condenar o bandido do Bolsonaro que roubou milhões do INSS ficou calados.",2025-05-01
FernandoLage17,BOLSONARO ROUBOU O INSS,2025-05-01
AlvesStenner,"

Recebe como ministro STF, no mínimo 46 mil,  como professor da USP  17 mil e  como ministro da justiça 46 mil aprox.
Fora os penduricalhos.

Tags trabalho Globo Arrastão Peki Mentiroso Escala Maio Corja  gaga INSS Ciro Lupi Trump lula bolsonaro moraes STF",2025-05-01
joaofernandesf1,E o ladrão do Bolsonaro que roubou milhões do INSS você ficaram calados burros da direita.,2025-05-01
RosaCasta3,Este é um país sem memória. Esqueceram do Paulo Bernardo e da Gleise roubando dos velhinhos do INSS ? já esqueceram ? A esquerda sempre passou a mão na grana dos aposentados. É recorrente. E ainda tenho que aguentar o dono da banca aqui de casa dizer que a culpa é do Bolsonaro.,2025-05-01
AndrOMelo,"Como é que ainda tem pessoas que acredita nesse larápio, mentiroso do , me fala...
Ou povo é tão ingênuo e imbecil de + para acreditar nisso.
Em falar que esse escandalo do INSS, foi no Governo do Bolsonaro, e o povo acreditar é para acabar.",2025-05-01
RosileneFreire7,"Ele não fala q 1a medida do Bolsonaro, MP 871/19, todo PT votou contra a regularização, que virou a Lei 13.846/19, que teve seus dispositivos antifraude INSS revogados pelos lobistas dos sindicatos em 2022, em 2023 explodiram as roubalheiras,  fala meia verdade🤡",2025-05-01
vams1981,"Ei  
Quem é Mauricio Camisotti, envolvido no sobrepreço das vacinas Covaxin, na fraude do INSS e apadrinhado politico de Ciro Nogueira com cargo no Governo Bolsonaro?",2025-05-01
SerPos356,A fraude no INSS começou no desgoverno do bolsonaro!,2025-04-30
oespasandinj,"Não entendi, em 2019 o Bolsonaro criou uma lei para combater a fraude do INSS que já acontecia antes do governo dele, se ele levou pra frente a anti fraude, como ele é responsável?!?! Alguem me explica pf não entendo.",2025-05-01
LucasRochas,"O esquema de desvio de verba no INSS começou em qual governo? 
E como se abastecesse um carro em apenas um dia por várias vezes ? Kkk

",2025-05-01
VascainoMa55015,"E não é estranho que o principal investigado desse esquema do INSS 
Fez  doação pra campanha do Bolsonaro ?",2025-05-01
BrisaBrasilBr,"Ah... mas o roubo na Petrobrás no governo FHC era menor.Ah mas os repasses no INSS eram menores no governo Bolsonaro, a mesma desculpa pra acusar o governo de esquerda q vcs odeiam
ROUBO É ROUBO",2025-05-01
BrisaBrasilBr,"Assim como o roubo na Petrobrás não caiu no colo do FHC, pq mesmo o jornalista Paulo Francis denunciando, ele não tomou providencias, assim como esse desfalque nos pgtos do INSS tbm não irá cair no colo do Bolsonaro, eu sinceramente não entendo, ou entendo...",2025-05-01
joaofernandesf1,O maior ladrão do INSS é seu bandido do Bolsonaro burros da direita.,2025-05-01
keynne_almeida,O ex-ministro de Bolsonaro e amigo pessoal é apontado pela polícia como um dos principais operadores do esquema do INSS. Será que foi por isso que Bolsonaro não investigou nada durante todo seu governo ?,2025-05-01
cesarhocosta,A Farra do INSS começou e teve frutos no governo Bolsonaro.,2025-05-01
2023santiagoBr,"Teooo cooolll.   Todo mundo sabe que Bolsonaro cirou lei justamente para evitar fraudes no INSS.  Vai ler Petista vai!


quem criou a lei contra fraudes no INSS? E quem revogou em 2022? Explica pra Santinha ai...",2025-05-01
dinhoccsa74,"E aí petista
O que você vai dizer do roubo do INSS ? 
Roubaram com amor ? 
Roubaram, mas, fizeram ?
Roubaram, mas, foi o Bolsonaro?
Roubaram, mas, veja como isso pode ser bom pra você ? 
🤔🤔🤔🤔🤔🤔",2025-05-01
joaofernandesf1,"Na realidade Lula demitiu ministro do INSS para investigar irregularides e devolver o dinheiro aos trabalhadores, e o bandido ladrão do Bolsonaro que roubou quase R$ 6,5 milhões dos trabalhadores já develveu o dinheiro imbecil.",2025-05-01
CuritibaSucesso,LATIFUNDIO: “Careca do INSS” é doador da campanha de Bolsonaro ,2025-05-01
MacielMariaeni,"Pro Bolsonaro foi R$ 1,00 (um real). E pro Lula, alguém sabe quanto o careca do INSS doou?",2025-05-01
ansmachadomg,"É. todo mundo do esquema do INSS está ligado ao Bolsonaro. PQP. Isso é nosso sistema trabalhando contra nós. Não tem haver com direita e esquerda, é caráter. E gente sem caráter tá pra todo lado. Não é um espectro político. Até seria mais simples se fosse assim, mas não é né.",2025-05-01
XMatiasR,"A fraude do INSS é culpa do Lula ou do Bolsonaro?” — Quem pergunta isso ou é cretino ou só um idiota útil. O TCU, órgão de Estado, alertou o ministro atual desde o começo. Nada foi feito. Mas o teatro da culpa sempre rende mais que a responsabilidade.",2025-05-01
drzegon,"Pobre de direita é a pior raça que existe!

Baba ovo que no final das contas leva ferro!

 no inferno!
INSS l Alexandre de Moraes l Gleisi l Nikolas l Governo Lula l Bolsonaro l Lupi l Polícia Federal l Brazil l BR",2025-05-01
EdilaineSilva88,,2025-05-01
MarioFa23881611,A vadia Michele Bolsonaro é mau exemplo para sua filha e quem roubou foi o careça INSS doando milhões ao marginal Bolsonaro não sou evangélico para ser enganado seu bosta,2025-05-01
ValterS81989779,Jair Bolsonaro criou a Medida Provisória (MP) 871 em 2019. Essa MP tinha como objetivo principal combater fraudes no Instituto Nacional do Seguro Social (INSS),2025-05-01
DudyRobertt,INSS é da era bolsonaro,2025-05-01
livioluizso,"Bolsonaro tentou barrar o esquema de fraudes no INSS, mas a iniciativa dele foi derrubada pelos interessados em manter o esquema.",2025-05-01
grok,"  The INSS fraud began in 2019 under Bolsonaro’s government, not Lula’s. It involved R$6.3 billion in unauthorized deductions, uncovered in 2025 by Lula’s administration through a Federal Police and CGU operation. Associating Lula’s government with the crime is misleading, as it’s actively investigating, not initiating, the fraud. No evidence links the funds to factory construction.",2025-05-01
angelagindri43,"- 16 junho 2019 Bolsonaro sansiona lei de combate as fraudes no INSS: previsão de revisão de benefícios 
- 2022 CONGRESSO revoga lei de Bolsonaro contra FRAUDES EM DESCONTOS DO INSS
🤫🤐🤭",2025-05-01
NeySilv36729893,"PL 871 Assinada pelo então Presidente Bolsonaro em 19/02/19, para passar um pente fino no INSS, e foi cassada pelo congresso em 2020.",2025-05-01
nittinhafayeyo,"N sou puxa saco de partido mt menos tenho político de estimação, mas usar foto do Lula na capa da notícia é induzir a algo, se n for uma mala nessa foto o certo era p ser o Bolsonaro kkkkkkkkkk

Notícia atualizada ontem: 

",2025-05-01
WLilinho,"É do Bolsonaro kkkk
O irmão dele é vice presidente de uma associação  o Bolsonaro já foi sindicalista, sabe tudo de desconto em folha e ainda revogou a lei contra fraude no INSS, tá na cara que a culpa é  do Bolsonaro.",2025-05-01
RogrioSilvaBar6,Agora que você está pedindo!? Porque não pediu para derrubar o governo corrupto lá em 2019 quando começou a roubalheira do INSS e o bolsonaro deixou a roubalheira rolar!? O atual não interferiu e deixou investigar algo que já rolava desde o governo anterior.,2025-05-01
grok,"A verdade sobre o escândalo de corrupção no INSS é que ele começou em 2018, sob Michel Temer, continuou durante o governo Bolsonaro, com crescimento em 2021-2022, e foi exposto em 2023, sob Lula. A fraude, envolvendo descontos indevidos de pensionistas, teve raízes em gestões anteriores, mas Lula agiu com a Operação Aposentadoria Segura e demitiu a diretora do INSS em 2024. Culpar apenas Lula ignora os fatos: o problema é antigo, mas sua gestão o enfrentou.",2025-05-01
Caverna1617039,"FRAUDE NO INSS É CULPA DA ESQUERDA SIM! Em 2019, Bolsonaro sancionou a Lei que combatia as fraudes previdenciárias.
Em 2022, o Congresso, por influência da esquerda, aprovou uma Lei que nela revogava trechos da Lei de Bolsonaro para combater fraudes.

",2025-05-01
L9Leoncio,IMPERDÍVEL: Moro explica por que as fraudes no INSS não foram investigadas no governo Bolsonaro. Veja o vídeo!,2025-05-01
grok,"You're correct. The INSS scandal began in 2019 under Bolsonaro's government, with unauthorized deductions affecting retirees. The investigation started in 2023 under Lula's administration, escalating with Operation ""Sem Desconto"" in April 2025.

Key points:
- Fraud started in 2019, impacting 742,000 retirees with R$6.3 billion lost by 2024.
- Most deductions (R$3.78 billion) occurred in 2023–2024 under Lula.
- Both sides blame each other, but the investigation and major actions happened during Lula's term.",2025-05-01
