mensagem,data,aspecto
"engraçado, lula disse que as fraudes no inss começaram em 2019 atribuindo uma parte das fraudes ao governo bolsonaro, os sindicatos são de direita ou de esquerda? frei xico é irmão de bolsonaro ou de lula? responda lula, vc não engana mais ninguém",2025-05-01,lula
"revisão da vida toda.
tema 1102.

bolsonaro era contra o pagamento, dizia q o país quebraria.
lula, também.
stf (barroso) em jantar, tramam acordo.
barroso ressuscita adi's 2110 e 2111.
inss nos roubou valores anteriores a jul/94.
lula, pt, nunca mais.",2025-05-01,lula
"@andreaquiiii   
1. escândalo do inss começou em 2019, governo bolsonaro.  
2. investigações começaram em 2025, governo lula.  
3. bolsonaro não investigou esse escândalo específico.  
4. frei chico não é investigado, mas seu sindicato, sindnapi, está sob investigação.  
5. frei chico virou dirigente do sindnapi em 2023.",2025-05-01,lula
"the inss fraud began in 2019, during jair bolsonaro's presidency, as confirmed by investigations from the cgu and pf. the scheme, involving unauthorized deductions, grew significantly that year. while earlier frauds existed, this specific issue started under bolsonaro, not lula, despite some political claims. it's a complex, systemic problem spanning decades.",2025-05-01,lula
"na realidade lula demitiu ministro do inss para investigar irregularides e devolver o dinheiro aos trabalhadores, e o bandido ladrão do bolsonaro que roubou quase r$ 6,5 milhões dos trabalhadores já develveu o dinheiro imbecil.",2025-05-01,lula
"pro bolsonaro foi r$ 1,00 (um real). e pro lula, alguém sabe quanto o careca do inss doou?",2025-05-01,lula
"a fraude do inss é culpa do lula ou do bolsonaro?” — quem pergunta isso ou é cretino ou só um idiota útil. o tcu, órgão de estado, alertou o ministro atual desde o começo. nada foi feito. mas o teatro da culpa sempre rende mais que a responsabilidade.",2025-05-01,lula
"pobre de direita é a pior raça que existe!

baba ovo que no final das contas leva ferro!

 no inferno!
inss l alexandre de moraes l gleisi l nikolas l governo lula l bolsonaro l lupi l polícia federal l brazil l br",2025-05-01,lula
"the inss fraud began in 2019 under bolsonaro’s government, not lula’s. it involved r$6.3 billion in unauthorized deductions, uncovered in 2025 by lula’s administration through a federal police and cgu operation. associating lula’s government with the crime is misleading, as it’s actively investigating, not initiating, the fraud. no evidence links the funds to factory construction.",2025-05-01,lula
"n sou puxa saco de partido mt menos tenho político de estimação, mas usar foto do lula na capa da notícia é induzir a algo, se n for uma mala nessa foto o certo era p ser o bolsonaro kkkkkkkkkk

notícia atualizada ontem:",2025-05-01,lula
"a verdade sobre o escândalo de corrupção no inss é que ele começou em 2018, sob michel temer, continuou durante o governo bolsonaro, com crescimento em 2021-2022, e foi exposto em 2023, sob lula. a fraude, envolvendo descontos indevidos de pensionistas, teve raízes em gestões anteriores, mas lula agiu com a operação aposentadoria segura e demitiu a diretora do inss em 2024. culpar apenas lula ignora os fatos: o problema é antigo, mas sua gestão o enfrentou.",2025-05-01,lula
"you're correct. the inss scandal began in 2019 under bolsonaro's government, with unauthorized deductions affecting retirees. the investigation started in 2023 under lula's administration, escalating with operation ""sem desconto"" in april 2025.

key points:
- fraud started in 2019, impacting 742,000 retirees with r$6.3 billion lost by 2024.
- most deductions (r$3.78 billion) occurred in 2023–2024 under lula.
- both sides blame each other, but the investigation and major actions happened during lula's term.",2025-05-01,lula
"a milícia digital está no modo ""vale tudo"" para derrotar o lula. apoiaram a ditadura, collor, fhc e tucanos, o golpe contra a dilma, a lava jato. no caso do inss, não informa que tudo começou no governo bolsonaro e que lula mandou a cgu e a pf investigarem. globo golpe.",2025-05-01,lula
"explica para os sem neurônios, como o lula permitiu que a inss fosse roubado tirando o decreto que bolsonaro tinha colocado pra acabar com farra nas fraudes do inss",2025-05-01,lula
"olá ! os descontos indevidos no inss começaram em 2019 e continuaram até 2024. o valor total envolvido é de r$ 6,3 bilhões. na época do início, em 2019, o presidente era jair bolsonaro, que ficou no cargo até 2022. depois, luiz inácio lula da silva assumiu em 2023, e a fraude foi descoberta em 2025, durante seu governo. a investigação aponta que o esquema afetou muitos aposentados, e medidas como a suspensão de servidores e a apreensão de bens já foram tomadas.",2025-05-01,lula
"a cgu descobriu as fraudes no inss em 2023, durante o governo lula. as fraudes começaram entre 2019 e 2024, com a maioria dos acordos suspeitos assinados em 2021 e 2022, sob o governo bolsonaro.",2025-05-01,lula
lula ladrão. o roubou do inss triplicou no seu governo. os sindicatos são todos de esquerda. é cara de pau colocar a culpa em bolsonaro.,2025-05-01,lula
a base do presidente bolsonaro quer a cpi do inss. já a base do lula não! pq será???!!!🤔😉,2025-04-30,lula
"""beneficiario da fraude do inss é socio do ex ministro do bolsonaro""...presidente do sindicados da fraude do inss foi nomeado por lula, e vice é irmão do lula, kkkkkk olha só, kkkk",2025-05-01,lula
"os técnicos e honestos não aguentam. saem mesmo.



tags trabalho globo arrastão peki lewandowski mentiroso escala maio corja  gaga inss ciro lupi israel trump lula bolsonaro moraes stf",2025-05-01,lula
"nossa hein. isso porque é ligado ao bolsonaro. se fosse ligado ao lula a manchete seria ""careca do inss, operador de indicado do presidente lula, é o principal...."" alguém tem dúvida?",2025-05-01,lula
"pergunta cretina: ""a corrupção no governo lula é culpa do lula ou do bolsonaro?""
a corrupção no inss, que sempre houve em alguma medida, para variar explodiu no governo lula.",2025-05-01,lula
"lula não sabia de nada, mas bolsonaro sabia que os sindicatos ligados ao pt estavam mamando tudo no inss.
conta outra ""amante""",2025-05-01,lula
"carlos lupi não é comparsa das fraudes no inss iniciadas em 2019, pois não estava no governo então. ele assumiu o ministério da previdência em 2023, sob lula. não há evidências de que ele participou do governo bolsonaro (2019-2022), quando as fraudes começaram, envolvendo r$6,3 bilhões em descontos indevidos. lupi foi alertado em 2023, mas só agiu em 2024, sugerindo possível negligência, não cumplicidade. a falta de ação rápida é criticada, mas ele alega precisar de provas concretas.",2025-05-01,lula
