mensagem,data,aspecto
"a notícia é em grande parte verdadeira. a operação sem desconto de 2025 revelou fraudes de r 6,3 bilhões no inss, com descontos indevidos de 2019 a 2024. o sindicato sindnapi, onde frei chico, irmão de lula, é vice-presidente, foi alvo, mas não há evidências de que ele esteja diretamente envolvido. a linha do tempo do post, incluindo o fim das contribuições sindicais em 2018 e a nomeação do chefe do inss em 2023, está correta. porém, alegações de que lula ou frei chico orquestraram a corrupção não têm provas claras. o sindicato diz apoiar a investigação. cautela é necessária, pois o tema é politizado.",2025-04-24,lula
resumão: márcio thomaz bastos era ministro da justiça quando corrupção no inss começou fraude no inss começou no governo lula a fraude do inss começou a ser investigado em 2003 no governo lula esquerdistas e gado de políticos não vão pesquisar!,2025-04-24,lula
"frei chico, irmão de lula, é vice-presidente do sindnapi desde 2024, mas membro desde 2008. o sindicato é investigado por fraudes no inss de r 6,3 bilhões, mas não há evidências diretas contra ele. não foi alvo inicial da pf, e sua inocência não está provada nem refutada. a investigação continua.",2025-04-24,lula
os abutres da extrema direita faz as falcatruas no inss e depois a culpa é de lula  lula contra corrupção,2025-04-24,lula
e os 6 bilhões do inss e o irmão do lula? vai xandão neles ou não?,2025-04-24,lula
"mas fala aí. a corrupção do inss começou no governo bolsonaro em 2019 e em 2023 começou a ser combatida, em pleno governo lula. ou és mais um bolsonarista que não sabe ler?",2025-04-24,lula
lembrando que irmão de lula está sendo investigado pela fraude do inss,2025-04-24,lula
acorda os políticos da direita estão enchendo a rede social de informações que o lula e o irmão dele são os responsáveis pela fraude do inss.,2025-04-24,lula
"precisou que entrássemos no terceiro ano do governo para entendermos essa foto, o lula subiu na rampa pra roubar a terra do índio e vender para ongs e europeus, o inss dos velhos e deficientes e os cães para representar o futuro impostos dos pais e mães de pet.",2025-04-24,lula
lula decidiu - com uma forcinha de casos que envolve a família dele - a ser o novo lançador de fumaça para tentar abafar o caso do roubo no inss e o caso dos venezuelanos.,2025-04-24,lula
venham ver o que alckimin e lula fizeram depois do fhc. venham investigar o sp-prev. meu contrato é de 1974 e contribuo até hoje com a previdência. é um assalto do governo contra nós prof. universitários. contribuo há 50 anos. não é inss. é sp-prev. sou concursada e estatutária.,2025-04-24,lula
quem nomeou o responsável pelo inss durante essa fraude bilionária? a nomeação partiu de alguém indicado pelo lula?,2025-04-24,lula
bia esta chegando aqui pra mim através de bolsonarista do envolvimento do irmão do lula nesse assunto do inss. vice tá sabendo dessa história?,2025-04-24,lula
"no meu entender , esses eleitores de lula tb são vítimas , se quiser ajudá-la diz para acessar o app meu inss e procurar no extrato por descontos estranhos com nomes de entidades que ela não autorizou. e também diz para votar melhor em 2026.",2025-04-24,lula
"mas o presidente do inss foi indicado por quem? depois de três anos de desgoverno lula, a pf decidiu agir. porque estava ocupada prendendo gente inocente a mando dos urubus do stf.",2025-04-24,lula
"a corrupção no inss começou no governo bolsonaro e durou todo seu mandato. agora com um governo de verdade, que não interfere na pf, foi possível investigar e derrubar essa fraude. lula contra a corrupção",2025-04-24,lula
"e os escândalos de corrupção se acumulam, com a gestão do pt: mensalão (governo lula) desvio de r 141 milhões (fonte: jornal o sul) petrolão (governo dilma, poste do lula) desvio de r 6 bilhões (fonte: jornal o sul) descontão (governo lula) desvio de r 6,3 bilhões do inss",2025-04-24,lula
governo lula não desmontou nada. a polícia federal que depois de três anos de administração do desgoverno lula no inss descobriu o esquema de ladroagem. lula tem espertise em corrupção.,2025-04-24,lula
 4ª mais lida: sindicato ligado a irmão de lula é alvo da operação que mira o inss,2025-04-24,lula
"irmão do lula envolvido em esquema de corrupção no inss.... a culpa é de quem?? bolsonaro, claro!!!!",2025-04-24,lula
o roubo nas aposentadorias dos velhinhos do inss disparou depois que o governo lulapt assumiu.,2025-04-24,lula
"vc espalha desinformação. estamos em 2025. o presidente do inss foi demitido em 23042025. ou seja, a fraude continuou por quase td o governo lula. fonte:",2025-04-24,lula
o irmão dele está envolvido no escândalo do inss então o lula está enviando também,2025-04-24,lula
e o lula ainda vai sair por cima como quem salvou o inss. esse país n tem jeito,2025-04-24,lula
"lula o seu governo foi só lacração, nada fez pelo povo. virou papagaio do hamas, escândalo do inss e manteve o orçamento secreto. vc é uma mentira! uma vergonha moral e humana!",2025-04-24,lula
miados news rp - fraude do inss vai derrubar lula,2025-04-24,lula
o lula poderia sacar o seu dinheiro escondido no banco do vaticano para cobrir o rombo do inss,2025-04-24,lula
"lula usando o irmão de laranja para roubar 6,3 bilhões do inss, mas o importante é que tiramos o ""bozo"".",2025-04-24,lula
irmão de luiz inácio lula da silva está no esquema da roubalheira no inss.,2025-04-24,lula
"mentira , o golpe começou em 2023 quando lula nomeou stefunatto para a presidência do inss por indicação de carlos lupi , ministro da previdência de lula ! o irmão do lula também está envolvido na roubalheira ! eita família …",2025-04-24,lula
disseram que o janones ladrão está revoltado porque não conseguiu tirar o dele no roubo do inss quando até o irmão do ladrãode 9 dedos tirou? fontes revelaram que o rachadones deu crise de choro por não ter embolsado nada dos 6 bilhões roubados por aliados do lula. ,2025-04-24,lula
"meteu essa? kkkkkkkkkkkkkkkkkkkk sindicalista, inclusive um que o irmão do próprio lula faz parte, fraudando o inss pra roubar o aposentado e mete essa que é ""cuidar dos pobres é roubar"". bizarro. e tem gente que cai nessa conversa.",2025-04-24,lula
2 indicados de lula passaram por la. sabe se do rpubo desde 2024. seu lambe bita,2025-04-24,lula
"mulé, vai cuidar a aposentadoria do inss ta tua mae q ta sendo roubada pelo lula!",2025-04-24,lula
"só depois da posse de lula, com a cgu e a pf de volta ao jogo, é que começaram a cavar fundo nas fraudes do inss — aquelas mesmas que começaram lá atrás, em 2019, no governo bolsonaro e ficaram debaixo do tapete até 2023.",2025-04-24,lula
"foi pego com a mãe na botija! desmascarado pela pf e teve que demitir o presidente do inss que foi nomeado e escolha pessoal do dele (lula). pt é sinômino de corrupção, foi assim no mensalão, petrolão e agora inss",2025-04-24,lula
"vai afetar reputação de lula?? aonde, o cara te um passado só de corrupção e corruptor. até o irmão tá envolvido nesse desvio do inss. contem outra por favor, isso chega a ser ridículo falar de reputação de um criminoso, bandido e ladrão.",2025-04-24,lula
"lula determina demissão do presidente do inss alessandro stefanutto é um dos alvos de operação contra desvio de r 6,3 bilhões",2025-04-24,lula
(minha análise)- r 6 bilhões desviados do inss no governo lula.  o cuidar dos pobres virou roubar dos pobres. vergonha!,2025-04-24,lula
"avisem à deputada que o brasil tem, no momento, mil coisas mais importantes para tratar. o brasil pegando fogo devido à corrupção do inss e lula invertendo a ordem das prioridades.",2025-04-24,lula
