mensagem,data,aspecto
"Bolsonaro sancionou lei pra acabar com a corrupção no INSS, Lula revogou a lei só pra começar novamente a roubar, e agora junto ao irmão",2025-05-01,lula
"Engraçado, LULA disse que as fraudes no INSS começaram em 2019 atribuindo uma parte das fraudes ao governo Bolsonaro, os sindicatos são de direita ou de esquerda? Frei Xico é irmão de Bolsonaro ou de Lula? Responda Lula, vc não engana mais ninguém",2025-05-01,lula
"Revisão da Vida Toda.
Tema 1102.

BOLSONARO era contra o pagamento, dizia q o país quebraria.
LULA, também.
STF (Barroso) em jantar, tramam acordo.
Barroso ressuscita ADI's 2110 e 2111.
INSS nos roubou valores anteriores a jul/94.
LULA, PT, NUNCA MAIS.",2025-05-01,lula
"@andreaquiiii   
1. Escândalo do INSS começou em 2019, governo Bolsonaro.  
2. Investigações começaram em 2025, governo Lula.  
3. Bolsonaro não investigou esse escândalo específico.  
4. Frei Chico não é investigado, mas seu sindicato, Sindnapi, está sob investigação.  
5. Frei Chico virou dirigente do Sindnapi em 2023.",2025-05-01,lula
"Olá! Aqui estão as respostas em português:

1. Frei Chico, irmão de Lula, não está sendo investigado diretamente. O foco é o Sindnapi, sindicato onde ele é vice-presidente, por suspeitas de fraudes no INSS.

2. As fraudes começaram em 2019, no governo Bolsonaro, com alguns casos em 2018, sob Temer. Envolvem descontos não autorizados de benefícios de aposentados.

3. As investigações iniciaram em 2023, já no governo Lula, com operação da Polícia Federal em abril de 2025.

4. Frei Chico é diretor do Sindnapi desde 2008 e virou vice-presidente em 2024, eleito por sua experiência sindical, não por laços familiares.

O caso expõe falhas de fiscalização em vários governos, e o Sindnapi diz ter reportado irregularidades.",2025-05-01,lula
"O esquema de fraudes no INSS investigado pela PF envolve aliados e ex-integrantes do governo Bolsonaro. As irregularidades ocorreram principalmente entre 2019 e 2022, com suspeitas de uso político de benefícios. Não há ligação com o governo Lula, que assumiu depois.",2025-05-01,lula
"The INSS fraud began in 2019, during Jair Bolsonaro's presidency, as confirmed by investigations from the CGU and PF. The scheme, involving unauthorized deductions, grew significantly that year. While earlier frauds existed, this specific issue started under Bolsonaro, not Lula, despite some political claims. It's a complex, systemic problem spanning decades.",2025-05-01,lula
"

Recebe como ministro STF, no mínimo 46 mil,  como professor da USP  17 mil e  como ministro da justiça 46 mil aprox.
Fora os penduricalhos.

Tags trabalho Globo Arrastão Peki Mentiroso Escala Maio Corja  gaga INSS Ciro Lupi Trump lula bolsonaro moraes STF",2025-05-01,lula
"Na realidade Lula demitiu ministro do INSS para investigar irregularides e devolver o dinheiro aos trabalhadores, e o bandido ladrão do Bolsonaro que roubou quase R$ 6,5 milhões dos trabalhadores já develveu o dinheiro imbecil.",2025-05-01,lula
"Pro Bolsonaro foi R$ 1,00 (um real). E pro Lula, alguém sabe quanto o careca do INSS doou?",2025-05-01,lula
"A fraude do INSS é culpa do Lula ou do Bolsonaro?” — Quem pergunta isso ou é cretino ou só um idiota útil. O TCU, órgão de Estado, alertou o ministro atual desde o começo. Nada foi feito. Mas o teatro da culpa sempre rende mais que a responsabilidade.",2025-05-01,lula
"Pobre de direita é a pior raça que existe!

Baba ovo que no final das contas leva ferro!

 no inferno!
INSS l Alexandre de Moraes l Gleisi l Nikolas l Governo Lula l Bolsonaro l Lupi l Polícia Federal l Brazil l BR",2025-05-01,lula
"  The INSS fraud began in 2019 under Bolsonaro’s government, not Lula’s. It involved R$6.3 billion in unauthorized deductions, uncovered in 2025 by Lula’s administration through a Federal Police and CGU operation. Associating Lula’s government with the crime is misleading, as it’s actively investigating, not initiating, the fraud. No evidence links the funds to factory construction.",2025-05-01,lula
"N sou puxa saco de partido mt menos tenho político de estimação, mas usar foto do Lula na capa da notícia é induzir a algo, se n for uma mala nessa foto o certo era p ser o Bolsonaro kkkkkkkkkk

Notícia atualizada ontem: 

",2025-05-01,lula
"A verdade sobre o escândalo de corrupção no INSS é que ele começou em 2018, sob Michel Temer, continuou durante o governo Bolsonaro, com crescimento em 2021-2022, e foi exposto em 2023, sob Lula. A fraude, envolvendo descontos indevidos de pensionistas, teve raízes em gestões anteriores, mas Lula agiu com a Operação Aposentadoria Segura e demitiu a diretora do INSS em 2024. Culpar apenas Lula ignora os fatos: o problema é antigo, mas sua gestão o enfrentou.",2025-05-01,lula
"You're correct. The INSS scandal began in 2019 under Bolsonaro's government, with unauthorized deductions affecting retirees. The investigation started in 2023 under Lula's administration, escalating with Operation ""Sem Desconto"" in April 2025.

Key points:
- Fraud started in 2019, impacting 742,000 retirees with R$6.3 billion lost by 2024.
- Most deductions (R$3.78 billion) occurred in 2023–2024 under Lula.
- Both sides blame each other, but the investigation and major actions happened during Lula's term.",2025-05-01,lula
"A Milícia Digital está no modo ""Vale Tudo"" para derrotar o Lula. Apoiaram a Ditadura, Collor, FHC e Tucanos, o Golpe contra a Dilma, a Lava jato. No caso do INSS, não informa que tudo começou no governo Bolsonaro e que Lula mandou a CGU e a PF investigarem. Globo Golpe.",2025-05-01,lula
" explica para os sem neurônios, como o lula permitiu que a INSS fosse roubado tirando o decreto que Bolsonaro tinha colocado pra acabar com farra nas fraudes do inss",2025-05-01,lula
"É oficial
FIM DA ESCALA 6X1
Em 2026 LULA MAIS UMA VEZ
Aprendam! GOVERNO LULA FAZ

Já a direita vai ser contra. A direita sempre vai te roubar. 

É proibido investigar SE BOLSONARO ROUBOU O INSS ? Para eles sim. CENSURA. 

Votou na direita, votou na corrupção",2025-05-01,lula
"Olá ! Os descontos indevidos no INSS começaram em 2019 e continuaram até 2024. O valor total envolvido é de R$ 6,3 bilhões. Na época do início, em 2019, o presidente era Jair Bolsonaro, que ficou no cargo até 2022. Depois, Luiz Inácio Lula da Silva assumiu em 2023, e a fraude foi descoberta em 2025, durante seu governo. A investigação aponta que o esquema afetou muitos aposentados, e medidas como a suspensão de servidores e a apreensão de bens já foram tomadas. ",2025-05-01,lula
"Em 2019 / 2022 a lei de fraude, aprovada no governo Bolsonaro, diminuiu drasticamente as fraudes. Em 2023 as fraudes explodiram no governo mais corrupto da história. Até o momento não prendeu o presidente do INSS e ministro, nem mesmo o irmão do Lula.",2025-05-01,lula
"O governo Bolsonaro foi provavelmente alertado sobre a fraude no INSS em 2021, com auditorias da CGU apontando irregularidades, como 98% dos aposentados negando vínculo com entidades que faziam descontos. Investigações internas, como auditorias em 2020, ocorreram, mas uma grande operação, com PF e CGU, começou em 2023, sob Lula. A fraude, iniciada em 2019, afetou ambos os governos, com debates sobre responsabilidade.",2025-05-01,lula
"Primeiro,  sempre teve roubo, mas esse em escala começou em 2016 não 2019. Segundo, o idiota do bolsonaro  pelo menos isso tentou resolver com uma MP,  que foi revogada por Lula assim que entrou. ",2025-05-01,lula
"A CGU descobriu as fraudes no INSS em 2023, durante o governo Lula. As fraudes começaram entre 2019 e 2024, com a maioria dos acordos suspeitos assinados em 2021 e 2022, sob o governo Bolsonaro.",2025-05-01,lula
"É parcialmente verdade. A fraude no INSS começou em 2019, sob Bolsonaro, com mudanças na MP 871/2019 que facilitaram descontos indevidos, mas estes já ocorriam antes em menor escala. A maioria das entidades investigadas foi autorizada no governo Bolsonaro, mas a fraude cresceu muito em 2023-2024, sob Lula, com 64% dos descontos nesse período. Ambos os governos têm responsabilidade: Bolsonaro por regras menos rígidas e Lula por não conter o aumento. O Congresso também influenciou, relaxando controles.",2025-05-01,lula
Lula ladrão. O roubou do INSS triplicou no seu governo. Os sindicatos são todos de esquerda. É cara de pau colocar a culpa em Bolsonaro.,2025-05-01,lula
A base do Presidente Bolsonaro quer a CPI do INSS. Já a base do Lula NÃO! Pq será???!!!🤔😉,2025-04-30,lula
"""Beneficiario da fraude do INSS é socio do ex ministro do Bolsonaro""...presidente do sindicados da fraude do INSS foi NOMEADO por lula, e vice é IRMÃO do lula, kkkkkk Olha só, kkkk",2025-05-01,lula
"  The INSS retiree fraud scandal began in 2019 during Bolsonaro’s presidency, not Lula’s government or after 2022. Unauthorized discounts on pensions continued into Lula’s second term (2023–present). In April 2025, Lula’s administration launched a major investigation, removing the INSS president and suspending contracts. The fraud, worth over $1 billion, started before 2022 and spans both administrations.",2025-05-01,lula
"Os técnicos e honestos não aguentam. Saem mesmo.



Tags trabalho Globo Arrastão Peki Lewandowski Mentiroso Escala Maio Corja  gaga INSS Ciro Lupi Israel Trump lula bolsonaro moraes STF",2025-05-01,lula
"Nossa hein. Isso porque é ligado ao Bolsonaro. Se fosse ligado ao Lula a manchete seria ""Careca do INSS, operador de indicado do presidente Lula, é o principal...."" Alguém tem dúvida?",2025-05-01,lula
"Pergunta cretina: ""a corrupção no governo lula é culpa do lula ou do Bolsonaro?""
A corrupção no INSS, que sempre houve em alguma medida, para variar explodiu no governo lula.",2025-05-01,lula
"Lula não sabia de nada, mas Bolsonaro sabia que os sindicatos ligados ao PT estavam mamando tudo no INSS.
Conta outra ""amante""",2025-05-01,lula
